Variavel,Peso
consumo_alcool,0.3546137064793866
tempo_tela,0.12666297965488696
freq_atividade_fisica,0.12392940698198003
num_refeicoes,0.06837469021635172
altura,0.04648036392800775
freq_consumo_vegetais,0.04140818108353227
idade,0.03920994367411467
consumo_entre_refeicoes,0.03739239388318846
genero,0.03582983498072415
historico_familiar,0.03503764412070782
consumo_alimento_calórico,0.029852125919844156
peso,0.028781586082069183
fumante,0.020121294508150464
monitora_caloria,0.00891843517893685
consumo_agua,0.0033874133081188704
